3155.7982 0 1620  Hi
4133.8651 1620 3260  there, today I've got
5160.3479 3420 3580  a
6151.3305 3580 3920  slightly
7175.9322 3920 4960  odd,
8196.8443 5060 7000  whimsical new story for
9194.7010 7000 7820  you, which I
10204.4053 7820 8500  read last
11202.4424 8500 9800  week and which links
12224.4198 9800 10760  to a childhood
14242.9321 10760 12780  pastime, which you may
15229.8696 12760 13700  well share with
17235.6107 13700 16020  me, and it links to understanding
18212.9166 15960 16860  the world's
20226.6037 16880 18780  oceans and some
21217.6294 18780 20200  artwork in Cornwall.
22252.3532 20440 20920  How do you
23256.0472 20940 22120  combine all that?
25229.5282 22100 23800  Well, here goes. Stay with
26196.3959 23800 24880  me until the end
27175.1342 24860 26060  to find out. Have
28154.7904 26100 26680  you ever
29203.9227 26680 28140  played with Lego?
30183.3019 28380 28800  That's
31204.9456 28800 29900  L-E-G-O.
32191.0167 30220 30800  What do you
33240.4244 30800 31760  remember building?
34686.8546 32380 32700  As a
35250.2856 32700 33320  child with
36258.9943 33320 34600  Lego? Keep listening
37241.9751 34600 36080  and you'll hear
38273.4215 36100 36980  about how
39245.7943 37000 37820  a simple
40270.8287 37820 38160  mess
42265.6987 38540 39680  with Lego in
43308.2383 39680 41880  1997 teaches us
44206.0590 41900 43520  about today's
46336.6923 43880 44400  That's
47336.3898 44400 45820  ocean, O-C
48214.2160 45820 47120 -E-A-N, and
49211.3981 47120 47980  a mishap.
50237.6077 48260 48980  That's M
51277.4441 49000 49680 -I-S
52240.9873 49680 51040 -H-A-P.
53254.3094 51300 52180  Notice it's
54692.8813 52160 52420  pronounced
55255.2364 52420 53700  mishap, not
56179.1065 53720 54980  mishap, and it means
57154.4669 55000 55640  an unfortunate
59109.6933 55640 57180  accident. All the
59302.0163 57180 58120  while you'll be
62328.2640 58140 59880  practising your English language
63319.5019 59880 61840  understanding and learning new
64359.1006 61840 63060  vocabulary as you
66360.7979 63060 64600  go. And that word,
67428.7634 64540 65900  whimsical, I use
68442.7924 65900 66620  right at the
69268.1761 66600 67840  start, that's W
70259.2361 67840 68760 -H-I
71293.5367 68740 70300 -M-S-I-C-A-L.
72276.4955 70340 70800  It means
73321.0967 70820 71400  playful,
74319.1319 71800 72060  slightly
75297.7240 72060 73760  humorous, but also
76349.5760 73760 74300  slightly
77384.2404 74300 75680  strange and freakish
79384.0675 75680 78320  perhaps. Winsicle, there's a word to
80378.1497 78320 79360  add to your vocabulary.
81414.5861 79840 80600  And let's
82350.7819 80620 80920  weave
83357.1060 80900 81340  in
84309.4189 81340 82600  playful, but practical
86330.3812 82600 84780  examples to help you
87798.8772 84780 85840  learn words like
88358.4068 85840 86120  nith
92296.1662 86960 90800  whimsical, and cap size. Learning new vocabulary is
93292.6862 90800 91160  much
94319.5240 91160 93080  easier if it's linked to
95305.2721 93080 94060  memorable real
96318.8632 94060 94540  world
99343.2977 94580 98020  context. So that you can recall these words and
99343.3876 98020 98540  use them.
